year,Ecuador GDP per capita (current US$),USA GDP per capita (current US$),Ecuador - CO2% from Transport (Avg: 46.5%),Ecuador - CO2% from Other Sectors (Avg: 6.3%),Ecuador - CO2% from Manufacturing and Construction (Avg: 14.7%),Ecuador - CO2% from Electricity and Heat (Avg: 22.6%),"Ecuador - CO2% from residential, commercial and public services (Avg: 9.9%)",USA - CO2% from Transport (Avg: 29.6%),USA- CO2% from Other Sectors (Avg: 1.2%),USA - CO2% from Manufacturing and Construction (Avg: 12.8%),USA - CO2% from Electricity and Heat (Avg: 43.9%),"USA - CO2% from residential, commercial and public services (Avg: 12.5%)"
1971,440.8573691,5609.3826,52.72206304,7.736389685,13.75358166,20.91690544,5.157593123,25.33948681,1.815726815,20.78337908,33.000007,19.0614003
1972,495.535764,6094.01799,51.98863636,7.670454545,11.36363636,23.01136364,5.681818182,25.50303844,1.671309192,20.12860643,34.3064597,18.39058624
1973,588.3367983,6726.358956,51.88916877,8.564231738,10.57934509,23.67758186,5.037783375,25.72211384,1.580793382,20.09722711,35.55164657,17.0482191
1974,970.0114387,7225.69136,42.82982792,7.648183556,13.57552581,23.13575526,13.00191205,25.959079,1.807450556,19.49222184,36.05383577,16.68741284
1975,1105.420081,7801.456664,44.85666105,7.41989882,12.64755481,21.75379427,13.32209106,27.40294422,1.97222943,17.31056701,36.2824543,17.03157542
1976,1264.912873,8592.253537,43.00291545,7.142857143,12.53644315,22.88629738,14.43148688,27.00461888,1.782124164,17.35935388,36.58943984,17.26467988
1977,1493.331358,9452.576519,44.49938195,6.30407911,11.49567367,25.09270705,12.60815822,26.88116938,1.486193358,17.89602713,37.60790851,16.12870163
1978,1572.40136,10564.94822,45.34632035,5.735930736,11.68831169,25.86580087,11.36363636,27.90541178,1.487584248,17.31517877,37.18583273,16.10599247
1979,1821.047648,11674.18631,35.67010309,8.556701031,13.60824742,32.78350515,9.278350515,27.15471887,1.799410337,18.70711659,37.49195204,14.84680217
1980,2238.214842,12574.79151,38.36538462,9.038461538,12.98076923,31.15384615,8.557692308,27.01129288,1.293599685,18.66448455,39.08198819,13.94841706
1981,2660.611503,13976.10975,38.81355932,8.813559322,12.71186441,31.94915254,7.796610169,27.26185775,1.311902866,18.46238013,39.78151865,13.1823406
1982,2369.950375,14433.78773,40.01692047,7.529610829,11.6751269,32.31810491,8.460236887,28.41033238,1.263077493,16.43852421,40.13054347,13.75752245
