year,EcGDP,EcGDP2,UsGDP,UsGDP2,"Ec - Population ages 40-44, female (% of female population)","Ec - Population ages 35-39, male (% of male population)","Ec - Population ages 35-39, female (% of female population)","Ec - Population ages 30-34, male (% of male population)","Ec - Population ages 30-34, female (% of female population)","Ec - Population ages 25-29, male (% of male population)","Ec - Population ages 25-29, female (% of female population)","Ec - Population ages 20-24, male (% of male population)","Ec - Population ages 20-24, female (% of female population)","Ec - Population ages 15-19, male (% of male population)","Ec - Population ages 15-19, female (% of female population)","Ec - Population ages 10-14, male (% of male population)","Ec - Population ages 10-14, female (% of female population)","Ec - Population ages 05-09, male (% of male population)","Ec - Population ages 05-09, female (% of female population)","US - Population ages 40-44, female (% of female population)","US - Population ages 35-39, male (% of male population)","US - Population ages 35-39, female (% of female population)","US - Population ages 30-34, male (% of male population)","US - Population ages 30-34, female (% of female population)","US - Population ages 25-29, male (% of male population)","US - Population ages 25-29, female (% of female population)","US - Population ages 20-24, male (% of male population)","US - Population ages 20-24, female (% of female population)","US - Population ages 15-19, male (% of male population)","US - Population ages 15-19, female (% of female population)","US - Population ages 10-14, male (% of male population)","US - Population ages 10-14, female (% of female population)","US - Population ages 05-09, male (% of male population)","US - Population ages 05-09, female (% of female population)"
1971,440.8573691,-93.08685837,5609.3826,10.19276958,4.127880169,4.868576266,4.874381586,5.800862931,5.769405146,6.951224993,6.893755382,8.222003431,8.131354153,10.85886072,10.73507367,12.54612429,12.35775605,14.70230413,14.41963823,5.658079758,5.575353402,5.290638704,5.991044598,5.662883061,7.068119698,6.812227348,8.308940287,8.27869867,9.760021859,9.105556349,10.36176446,9.596906788,9.789824255,9.045225742
1972,495.535764,-92.22943937,6094.01799,11.07339713,4.12887459,4.856136605,4.860282732,5.848171959,5.819326188,6.864142743,6.808902278,8.483918054,8.398536809,10.86956522,10.74811202,12.54454994,12.35237222,14.71155793,14.43018512,5.495529203,5.541536033,5.246341387,6.12154661,5.790276882,7.28319213,7.095665196,8.614862696,8.416813506,9.874967737,9.206904664,10.26036483,9.498462304,9.471473958,8.761247326
1973,588.3367983,-90.7742143,6726.358956,12.22241944,4.130978266,4.849619547,4.851516101,5.901685418,5.875738895,6.785874519,6.731926324,8.785530882,8.704936764,10.83646203,10.71495083,12.56168997,12.36379976,14.71189078,14.43506121,5.338749979,5.528195507,5.23554619,6.289435999,5.960849371,7.53432612,7.374968649,8.872053465,8.525824251,9.952517596,9.287488251,10.12049271,9.360113818,9.112357766,8.446216566
1974,970.0114387,-84.78912473,7225.69136,13.12975283,4.133206099,4.855956268,4.855842095,5.93533719,5.911847862,6.776129821,6.723321408,9.046228968,8.969372169,10.80515943,10.68145224,12.58538615,12.38180352,14.687631,14.4188039,5.205738583,5.544039863,5.261421549,6.488595064,6.172369637,7.820295497,7.626865577,9.070416479,8.630721962,9.997450513,9.330399525,9.942343331,9.187051177,8.744799893,8.12625436
1975,1105.420081,-82.66576423,7801.456664,14.1759719,4.135642712,4.877839913,4.876941228,5.938298032,5.916449079,6.863048011,6.812140477,9.22320319,9.148353109,10.80225418,10.67446295,12.60532317,12.39856471,14.62188355,14.36411371,5.106672782,5.600335234,5.329077848,6.716541902,6.413186126,8.115431872,7.842102327,9.222964938,8.7407759,10.00366983,9.32644039,9.717323102,8.976446575,8.4118862,7.835540476
1976,1264.912873,-80.16473706,8592.253537,15.61292333,4.133967614,4.909187845,4.909822498,5.907440584,5.887423705,7.021236192,6.973380002,9.317117839,9.243494639,10.80325823,10.67057088,12.61991656,12.41205589,14.58467128,14.33106535,5.035837271,5.676085448,5.43399991,6.853904258,6.634125595,8.308276823,8.029265723,9.345771197,8.835163108,9.989498559,9.28484487,9.520572827,8.730075412,8.222309759,7.588995954
1977,1493.331358,-76.58287714,9452.576519,17.17621015,4.132044619,4.96136413,4.964335263,5.847033318,5.82769555,7.262487343,7.218341164,9.346544812,9.272586418,10.82397143,10.68468942,12.64432204,12.43632561,14.52357357,14.2765416,5.002162837,5.763175383,5.569376285,7.039708069,6.887041649,8.484063362,8.178325627,9.465724658,8.93140837,9.965792762,9.208174677,9.298892951,8.455317407,8.07281225,7.387259254
1978,1572.40136,-75.34297018,10564.94822,19.19749293,4.134533508,5.018391902,5.024030092,5.793239336,5.773904723,7.537636496,7.497340818,9.337524203,9.261536446,10.85917208,10.71286222,12.6718108,12.4643553,14.43126781,14.19338688,5.007228586,5.839652627,5.727421509,7.28335244,7.161402582,8.631894886,8.291370155,9.574006188,9.019083127,9.929515159,9.091003187,9.060481168,8.164912301,7.955878644,7.229232132
1979,1821.047648,-71.44391547,11674.18631,21.21308164,4.147815679,5.057798778,5.065631532,5.7969996,5.778070329,7.777324888,7.740105799,9.329656836,9.250130912,10.90046497,10.7480659,12.68846414,12.4829466,14.30662549,14.07990175,5.047360141,5.916484324,5.906506856,7.556280454,7.428036878,8.760852577,8.386303919,9.657839513,9.075111829,9.865940726,8.929562388,8.826244414,7.881105823,7.84946943,7.098331965
1980,2238.214842,-64.90226255,12574.79151,22.84956499,4.174610598,5.069507517,5.078821759,5.882594589,5.865050745,7.943669981,7.908203978,9.344924393,9.260757472,10.94241716,10.78584133,12.67955735,12.47877353,14.15283886,13.93795653,5.11638202,6.028418569,6.110929664,7.815714294,7.659283761,8.885436955,8.479461146,9.713293556,9.081981383,9.762743537,8.726474136,8.613857537,7.623931575,7.723232645,6.968898644
1981,2660.611503,-58.27860569,13976.10975,25.3958905,4.212537834,5.051885786,5.0651877,6.029213065,6.018033861,8.038408899,8.007631994,9.362442071,9.276400706,10.97616512,10.81901639,12.64835992,12.4538794,14.03481956,13.82070997,5.205129953,6.276008318,6.355491167,8.017152435,7.819754572,9.028330557,8.591102451,9.738360604,9.042687923,9.525185699,8.500082368,8.357932024,7.419191673,7.596468799,6.877060424
1982,2369.950375,-62.83650056,14433.78773,26.22753392,4.267244967,5.005642786,5.022162226,6.244288631,6.240821547,8.07320391,8.045682025,9.391737978,9.302514143,11.01450002,10.8571706,12.60060524,12.41381224,13.89648303,13.68023539,5.324026699,6.571699959,6.618186512,8.179563488,7.942704078,9.168766976,8.697985873,9.721174907,8.96013313,9.246266943,8.243151596,8.132727363,7.245205815,7.502943317,6.799734719
1983,1988.787323,-68.81356785,15543.89372,28.24469969,4.325376733,4.96299755,4.982532671,6.486767546,6.491540141,8.072471538,8.046586075,9.431330163,9.33818191,11.0512754,10.89439397,12.53955901,12.3609313,13.73897103,13.51765356,5.475590855,6.878963351,6.87451881,8.324941016,8.049517353,9.289919268,8.779076634,9.64956569,8.838493147,8.954670603,7.973834883,7.930799277,7.096513403,7.439320481,6.735890258
1984,1912.431487,-70.01091363,17121.22548,31.11085813,4.367742834,4.969689365,4.992739422,6.698651419,6.710848833,8.072979383,8.046822542,9.477596619,9.380476141,11.07818343,10.92264391,12.46598078,12.29389693,13.57056108,13.34174487,5.658547377,7.158337575,7.10233674,8.474944993,8.160405084,9.374383941,8.816307197,9.518343184,8.6819272,8.678347061,7.717336725,7.749007872,6.963856561,7.396303962,6.686307169
1985,1891.560601,-70.3381927,18236.82773,33.13801109,4.385620025,5.047458241,5.0752019,6.848357792,6.865909286,8.095055104,8.06681438,9.527597811,9.426563602,11.08974755,10.93663675,12.3758819,12.20707914,13.40185902,13.16444838,5.864629521,7.396081623,7.296834668,8.631611392,8.276090361,9.411457739,8.805197644,9.33614115,8.494019134,8.427399462,7.488528152,7.590296436,6.841278417,7.359962651,6.651909341
1986,1648.015802,-74.15725031,19071.22719,34.65419249,4.378749871,5.180602822,5.215118892,6.938235891,6.961414805,8.118379906,8.090153636,9.565012886,9.465846028,11.06978852,10.92470774,12.26452705,12.09589712,13.2751008,13.02359653,6.070246179,7.628200811,7.483887013,8.745053198,8.351585886,9.39149962,8.765444957,9.111267739,8.25672543,8.180971201,7.289141834,7.468984145,6.754607347,7.353492032,6.67245429
1987,1464.493244,-77.03509136,20038.9411,36.4126186,4.347758122,5.375203798,5.417634594,6.978645078,7.005285904,8.154307103,8.124381722,9.609662916,9.511289925,11.04236005,10.90383829,12.14718497,11.97424286,13.16878882,12.89848922,6.307057158,7.815813163,7.628736031,8.84782228,8.429208333,9.326734722,8.67961813,8.859993781,8.000406875,7.959701379,7.126543374,7.375679071,6.689391454,7.363814687,6.709876908
1988,1337.889484,-79.02038135,21417.01193,38.91670139,4.320355491,5.594610446,5.645548214,6.98900762,7.017234949,8.200018388,8.167709157,9.654450351,9.556529605,11.00573256,10.87153694,12.02718016,11.84692151,13.07769725,12.78570879,6.565222848,7.959249029,7.731175427,8.938144976,8.507219409,9.211599946,8.539698049,8.600604746,7.748267863,7.766833241,6.99361995,7.302838005,6.643560402,7.388504133,6.758000751
1989,1390.213114,-78.19988772,22857.15443,41.53357418,4.336406722,5.787113937,5.846034,6.999226705,7.027898022,8.250671035,8.216304023,9.690552563,9.593541757,10.95786089,10.82516508,11.91286546,11.72280524,12.98936794,12.67660578,6.816651231,8.077434903,7.811485707,9.000476089,8.562707297,9.05147051,8.354073153,8.351295798,7.519710112,7.602650072,6.880971566,7.246239078,6.615697397,7.421878265,6.806679628
1990,1489.529509,-76.64249443,23888.60001,43.40780666,4.415530193,5.924776013,5.990258738,7.026588811,7.055102329,8.303372763,8.267550921,9.713601383,9.617972545,10.89844771,10.76437335,11.81142775,11.60870384,12.88775309,12.55959535,7.033775186,8.189813022,7.892724232,9.01742723,8.569169385,8.860255221,8.14256604,8.122174464,7.321333132,7.464396839,6.784125491,7.206172095,6.604137718,7.4560868,6.843446042
1991,1622.208243,-74.56194199,24342.2589,44.23214704,4.546354404,6.015626291,6.085270283,7.061804825,7.089074705,8.352997736,8.317000734,9.714946409,9.624690397,10.81662785,10.68229783,11.72281445,11.50220809,12.80004954,12.45737475,7.166605464,8.294283926,7.98414041,8.993671147,8.51118802,8.702628891,7.973725957,7.885923734,7.144327088,7.317769098,6.690387937,7.220901952,6.622758336,7.528291376,6.918077239
