year,EcGDP,EcGDP2,UsGDP,UsGDP2,"Ec - Population ages 40-44, female (% of female population)","Ec - Population ages 35-39, male (% of male population)","Ec - Population ages 35-39, female (% of female population)","Ec - Population ages 30-34, male (% of male population)","Ec - Population ages 30-34, female (% of female population)","Ec - Population ages 25-29, male (% of male population)","Ec - Population ages 25-29, female (% of female population)","Ec - Population ages 20-24, male (% of male population)","Ec - Population ages 20-24, female (% of female population)","Ec - Population ages 15-19, male (% of male population)","Ec - Population ages 15-19, female (% of female population)","Ec - Population ages 10-14, male (% of male population)","Ec - Population ages 10-14, female (% of female population)","Ec - Population ages 05-09, male (% of male population)","Ec - Population ages 05-09, female (% of female population)"
1971,440.8573691,-93.08685837,5609.3826,10.19276958,4.127880169,4.868576266,4.874381586,5.800862931,5.769405146,6.951224993,6.893755382,8.222003431,8.131354153,10.85886072,10.73507367,12.54612429,12.35775605,14.70230413,14.41963823
1972,495.535764,-92.22943937,6094.01799,11.07339713,4.12887459,4.856136605,4.860282732,5.848171959,5.819326188,6.864142743,6.808902278,8.483918054,8.398536809,10.86956522,10.74811202,12.54454994,12.35237222,14.71155793,14.43018512
1973,588.3367983,-90.7742143,6726.358956,12.22241944,4.130978266,4.849619547,4.851516101,5.901685418,5.875738895,6.785874519,6.731926324,8.785530882,8.704936764,10.83646203,10.71495083,12.56168997,12.36379976,14.71189078,14.43506121
1974,970.0114387,-84.78912473,7225.69136,13.12975283,4.133206099,4.855956268,4.855842095,5.93533719,5.911847862,6.776129821,6.723321408,9.046228968,8.969372169,10.80515943,10.68145224,12.58538615,12.38180352,14.687631,14.4188039
1975,1105.420081,-82.66576423,7801.456664,14.1759719,4.135642712,4.877839913,4.876941228,5.938298032,5.916449079,6.863048011,6.812140477,9.22320319,9.148353109,10.80225418,10.67446295,12.60532317,12.39856471,14.62188355,14.36411371
1976,1264.912873,-80.16473706,8592.253537,15.61292333,4.133967614,4.909187845,4.909822498,5.907440584,5.887423705,7.021236192,6.973380002,9.317117839,9.243494639,10.80325823,10.67057088,12.61991656,12.41205589,14.58467128,14.33106535
1977,1493.331358,-76.58287714,9452.576519,17.17621015,4.132044619,4.96136413,4.964335263,5.847033318,5.82769555,7.262487343,7.218341164,9.346544812,9.272586418,10.82397143,10.68468942,12.64432204,12.43632561,14.52357357,14.2765416
1978,1572.40136,-75.34297018,10564.94822,19.19749293,4.134533508,5.018391902,5.024030092,5.793239336,5.773904723,7.537636496,7.497340818,9.337524203,9.261536446,10.85917208,10.71286222,12.6718108,12.4643553,14.43126781,14.19338688
1979,1821.047648,-71.44391547,11674.18631,21.21308164,4.147815679,5.057798778,5.065631532,5.7969996,5.778070329,7.777324888,7.740105799,9.329656836,9.250130912,10.90046497,10.7480659,12.68846414,12.4829466,14.30662549,14.07990175
1980,2238.214842,-64.90226255,12574.79151,22.84956499,4.174610598,5.069507517,5.078821759,5.882594589,5.865050745,7.943669981,7.908203978,9.344924393,9.260757472,10.94241716,10.78584133,12.67955735,12.47877353,14.15283886,13.93795653
1981,2660.611503,-58.27860569,13976.10975,25.3958905,4.212537834,5.051885786,5.0651877,6.029213065,6.018033861,8.038408899,8.007631994,9.362442071,9.276400706,10.97616512,10.81901639,12.64835992,12.4538794,14.03481956,13.82070997
