year,Ecuador GDP,USA GDP,Ecuador CO2,USA CO2
1960,455.4615868,3007.123445,3523.593344,5722849.907
1961,375.2216257,3066.562869,3276.78076,5704206.548
1962,315.6882445,3243.843078,3118.948626,5921759.158
1963,368.6299561,3374.515171,3558.692115,6186678.458
1964,440.5597153,3573.941185,4241.30587,6460999.974
1965,455.1980788,3827.52711,4486.59417,6731790.146
1966,449.9202903,4146.316646,4746.335136,7069554.444
1967,459.2788814,4336.426587,5083.952564,7332431.068
1968,450.9997878,4695.92339,6111.381147,7600045.472
1969,527.9004426,5032.144743,6681.368364,7985921.064
1970,471.6307195,5234.296666,27677.41286,8598003.636
1971,440.8573691,5609.3826,26309.18866,8662157.804
1972,495.535764,6094.01799,28065.63225,9078557.468
1973,588.3367983,6726.358956,29941.06859,9487795.461
1974,970.0114387,7225.69136,33576.19797,9150793.519
1975,1105.420081,7801.456664,37627.85859,8774220.899
1976,1264.912873,8592.253537,40927.77491,9185376.625
1977,1493.331358,9452.576519,40458.5405,9441322.544
1978,1572.40136,10564.94822,47372.57608,9735141.307
1979,1821.047648,11674.18631,52251.03308,9756075.99
1980,2238.214842,12574.79151,56363.62741,9405242.178
1981,2660.611503,13976.10975,64719.32327,9033590.664
1982,2369.950375,14433.78773,70581.1217,8579614.892
1983,1988.787323,15543.89372,70345.19553,8646603.555
1984,1912.431487,17121.22548,75584.8163,8909208.712
1985,1891.560601,18236.82773,72947.30125,8944554.809
1986,1648.015802,19071.22719,66072.81729,8949747.092
1987,1464.493244,20038.9411,66763.44407,9334361.035
1988,1337.889484,21417.01193,72034.88955,9742220.143
1989,1390.213114,22857.15443,77687.01111,9867242.897
1990,1489.529509,23888.60001,71761.82703,9603314.734
1991,1622.208243,24342.2589,73398.80966,9598617.001
1992,1688.505067,25418.99078,86627.32136,9774911.72
1993,1727.754058,26387.29373,91592.31908,10007887.35
1994,2026.112715,27694.85342,75633.35484,10137050
1995,2132.906969,28690.8757,96878.47509,10211706.27
1996,2155.517229,29967.71272,101781.2962,10449474.75
1997,2356.370843,31459.139,89143.28859,10681816.05
1998,2293.889735,32853.67698,97324.53725,10754037.58
1999,1578.933536,34513.5615,91367.63517,10959840.69
2000,1445.279324,36334.90878,93221.57302,11338037.21
2001,1894.615169,37133.24281,99529.37843,11141481.73
2002,2172.101877,38023.16111,103406.3498,11231979.57
2003,2425.851842,39496.48588,110377.8442,11299294.58
2004,2691.278081,41712.80107,117529.9639,11457797
2005,3002.136867,44114.74778,118271.3732,11522933.78
2006,3328.882972,46298.73144,115977.4487,11338083.38
2007,3567.836438,47975.96768,122580.2423,11522251.25
2008,4249.019262,48382.55845,121895.1278,11175755.64
2009,4231.615798,47099.98047,112342.6055,10485973.38
2010,4633.590358,48466.82338,113145.8331,10748827.89
2011,5200.55579,49883.11398,117664.7868,10534062.09
2012,5682.045007,51603.49726,118448.6763,10190246.98
2013,6056.330827,53106.90977,77837.45136,10265897.11
2014,6377.09153,55032.958,83213.08585,10451726.11
